frase,glosa_predicha,glosa_real,eq?,accuracy-score
bixihgí bimá'ina xayi dímpεníhí nι,"[[['bi', '3.cpl'], ['xi', 'stem'], ['h', 'lig'], ['gí', '1.obj'], 'v'], [['bi', '3.cpl'], ['má', 'ctrf'], [""'ina"", 'stem'], 'v'], [['xayi', 'stem'], 'obl'], [['dí', '1.icp'], ['mpεní', 'stem'], ['hí', 'pl'], 'v'], [['nι', 'stem'], 'dem']]","[[['bi', '3.cpl'], ['xi', 'stem'], ['h', 'lig'], ['gí', '1.obj'], 'v'], [['bi', '3.cpl'], ['má', 'ctrf'], [""'ina"", 'stem'], 'v'], [['xayi', 'stem'], 'obl'], [['dí', '1.icp'], ['mpεní', 'stem'], ['hí', 'pl'], 'v'], [['nι', 'stem'], 'dem']]",True,1.0
bμ mikhá nι rι bεphí asíndá kwalkiér asíndá mipμn grι khäní,"[[['bμ', 'stem'], 'cnj'], [['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['bεphí', 'stem'], 'obl'], [['asíndá', 'stem'], 'obl'], [['kwalkiér', 'stem'], 'obl'], [['asíndá', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['pμn', 'stem'], 'v'], [['grι', 'det'], 'det'], [['khäní', 'stem'], 'obl']]","[[['bμ', 'stem'], 'cnj'], [['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['bεphí', 'stem'], 'obl'], [['asíndá', 'stem'], 'obl'], [['kwalkiér', 'stem'], 'obl'], [['asíndá', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['pμn', 'stem'], 'v'], [['grι', 'det'], 'det'], [['khäní', 'stem'], 'obl']]",True,1.0
xo mitahá rι ntsoyι mitá sínko pesos rι béhñι dos sinkwenta,"[[['xo', 'stem'], 'cnj'], [['m', 'psd'], ['i', '3.icp'], ['tahá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['ntsoyι', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['sínko', 'stem'], 'obl'], [['pesos', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['béhñι', 'stem'], 'obl'], [['dos', 'stem'], 'obl'], [['sinkwenta', 'stem'], 'obl']]","[[['xo', 'stem'], 'cnj'], [['m', 'psd'], ['i', '3.icp'], ['tahá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['ntsoyι', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['sínko', 'stem'], 'obl'], [['pesos', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['béhñι', 'stem'], 'obl'], [['dos', 'stem'], 'obl'], [['sinkwenta', 'stem'], 'obl']]",True,1.0
i nuyι intahahä porke inge yι obra biñäntsi,"[[['i', 'stem'], 'cnj'], [['nuyι', 'stem'], 'obl'], [['i', '3.icp'], ['ntahahä', 'stem'], 'v'], [['porke', 'stem'], 'cnj'], [['inge', 'stem'], 'prt'], [['yι', 'det.pl'], 'det'], [['obra', 'stem'], 'obl'], [['bi', '3.cpl'], ['ñäntsi', 'stem'], 'v']]","[[['i', 'stem'], 'cnj'], [['nuyι', 'stem'], 'obl'], [['i', '3.icp'], ['ntahahä', 'stem'], 'v'], [['porke', 'stem'], 'cnj'], [['inge', 'stem'], 'prt'], [['yι', 'det.pl'], 'det'], [['obra', 'stem'], 'obl'], [['bi', '3.cpl'], ['ñäntsi', 'stem'], 'v']]",True,1.0
ánk'ú xo ipεphí 'á múndo o 'á ntsμhní,"[[[""ánk'ú"", 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['i', '3.icp'], ['pεphí', 'stem'], 'v'], [[""'á"", 'stem'], 'p.loc'], [['múndo', 'stem'], 'mexico'], [['o', 'stem'], 'conj.adv'], [[""'á"", 'stem'], 'p.loc'], [['ntsμhní', 'stem'], 'n']]","[[[""ánk'ú"", 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['i', '3.icp'], ['pεphí', 'stem'], 'v'], [[""'á"", 'stem'], 'p.loc'], [['múndo', 'stem'], 'mexico'], [['o', 'stem'], 'conj.adv'], [[""'á"", 'stem'], 'p.loc'], [['ntsμhní', 'stem'], 'n']]",True,1.0
pe mäkhámák'ú xayi mikhá k'ι ta bεphí,"[[['pe', 'stem'], 'obl'], [['mäkhámá', 'stem'], [""k'ú"", 'loc'], 'unkwn'], [['xayi', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['ta', 'stem'], 'cnj'], [['bεphí', 'stem'], 'obl']]","[[['pe', 'stem'], 'obl'], [['mäkhámá', 'stem'], [""k'ú"", 'loc'], 'unkwn'], [['xayi', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['ta', 'stem'], 'cnj'], [['bεphí', 'stem'], 'obl']]",True,1.0
k'ι mätsindμméhé ko mändμhtáhé danimbí,"[[[""k'ι"", 'stem'], 'dem'], [['mä', '1.pss'], ['tsi', 'dim'], ['ndμmé', 'stem'], ['hé', 'pl.exc'], 'n'], [['ko', 'stem'], 'obl'], [['mä', '1.pss'], ['ndμhtá', 'stem'], ['hé', 'pl.exc'], 'n'], [['da', '3.pot'], ['nimbí', 'stem'], 'v']]","[[[""k'ι"", 'stem'], 'dem'], [['mä', '1.pss'], ['tsi', 'dim'], ['ndμmé', 'stem'], ['hé', 'pl.exc'], 'n'], [['ko', 'stem'], 'obl'], [['mä', '1.pss'], ['ndμhtá', 'stem'], ['hé', 'pl.exc'], 'n'], [['da', '3.pot'], ['nimbí', 'stem'], 'v']]",True,1.0
pero más rι óra yι tres bese dankámbia nι rι khäní,"[[['pero', 'stem'], 'obl'], [['más', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['óra', 'stem'], 'obl'], [['yι', 'det.pl'], 'det'], [['tres', 'stem'], 'obl'], [['bese', 'stem'], 'obl'], [['da', '3.pot'], ['nkámbia', 'stem'], 'v'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['khäní', 'stem'], 'obl']]","[[['pero', 'stem'], 'obl'], [['más', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['óra', 'stem'], 'obl'], [['yι', 'det.pl'], 'det'], [['tres', 'stem'], 'obl'], [['bese', 'stem'], 'obl'], [['da', '3.pot'], ['nkámbia', 'stem'], 'v'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['khäní', 'stem'], 'obl']]",True,1.0
pe mäkhámák'ú xayi mikhá ni para delantal ni para sako,"[[['pe', 'stem'], 'obl'], [['mäkhámá', 'stem'], [""k'ú"", 'loc'], 'unkwn'], [['xayi', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['ni', 'stem'], 'obl'], [['para', 'stem'], 'obl'], [['delantal', 'stem'], 'obl'], [['ni', 'stem'], 'obl'], [['para', 'stem'], 'obl'], [['sako', 'stem'], 'obl']]","[[['pe', 'stem'], 'obl'], [['mäkhámá', 'stem'], [""k'ú"", 'loc'], 'unkwn'], [['xayi', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['ni', 'stem'], 'obl'], [['para', 'stem'], 'obl'], [['delantal', 'stem'], 'obl'], [['ni', 'stem'], 'obl'], [['para', 'stem'], 'obl'], [['sako', 'stem'], 'obl']]",True,1.0
'ina mátiempok'únι binkhá rι nisidá,"[[[""'ina"", 'stem'], 'v'], [['má', 'stem'], ['tiempo', 'tiempo'], [""k'ú"", 'loc'], ['nι', 'dem'], 'v'], [['bi', '3.cpl'], ['nkhá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['nisidá', 'stem'], 'obl']]","[[[""'ina"", 'stem'], 'v'], [['má', 'stem'], ['tiempo', 'tiempo'], [""k'ú"", 'loc'], ['nι', 'dem'], 'v'], [['bi', '3.cpl'], ['nkhá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['nisidá', 'stem'], 'obl']]",True,1.0
pero phä nι rι óra nι rι tiempo dapohó,"[[['pero', 'stem'], 'obl'], [['phä', 'stem'], 'v'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['óra', 'stem'], 'obl'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['tiempo', 'stem'], 'obl'], [['da', '3.pot'], ['pohó', 'stem'], 'v']]","[[['pero', 'stem'], 'obl'], [['phä', 'stem'], 'v'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['óra', 'stem'], 'obl'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['tiempo', 'stem'], 'obl'], [['da', '3.pot'], ['pohó', 'stem'], 'v']]",True,1.0
mäkhámá mitsú mi'μngi yι yι tsimégí yι khäní,"[[['mäkhámá', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tsú', 'stem'], 'v'], [['m', 'psd'], ['i', '3.icp'], [""'μngi"", 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['yι', 'det.pl'], 'det'], [['tsi', 'dim'], ['mégí', 'stem'], 'unkwn'], [['yι', 'det.pl'], 'det'], [['khäní', 'stem'], 'obl']]","[[['mäkhámá', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tsú', 'stem'], 'v'], [['m', 'psd'], ['i', '3.icp'], [""'μngi"", 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['yι', 'det.pl'], 'det'], [['tsi', 'dim'], ['mégí', 'stem'], 'unkwn'], [['yι', 'det.pl'], 'det'], [['khäní', 'stem'], 'obl']]",True,1.0
pe mähke rι óra ya binkhá rι hustisia 'ántsμhní,"[[['pe', 'stem'], 'obl'], [['mähke', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['óra', 'stem'], 'obl'], [['ya', 'stem'], 'cnj'], [['bi', '3.cpl'], ['nkhá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['hustisia', 'stem'], 'obl'], [[""'á"", 'p.loc'], ['ntsμhní', 'toluca'], 'unkwn']]","[[['pe', 'stem'], 'obl'], [['mähke', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['óra', 'stem'], 'obl'], [['ya', 'stem'], 'cnj'], [['bi', '3.cpl'], ['nkhá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['hustisia', 'stem'], 'obl'], [[""'á"", 'p.loc'], ['ntsμhní', 'toluca'], 'unkwn']]",True,1.0
pe mäkhámá bastante misuphré yι béhñι,"[[['pe', 'stem'], 'obl'], [['mäkhámá', 'stem'], 'obl'], [['bastante', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['suphré', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['béhñι', 'stem'], 'obl']]","[[['pe', 'stem'], 'obl'], [['mäkhámá', 'stem'], 'obl'], [['bastante', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['suphré', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['béhñι', 'stem'], 'obl']]",True,1.0
nuyι khóngi ndóndo rι tiempo yι nι rι órayι',"[[['nuyι', 'stem'], 'obl'], [['khóngi', 'stem'], 'obl'], [['ndóndo', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['tiempo', 'stem'], 'obl'], [['yι', 'det.pl'], 'det'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['óra', 'stem'], [""yι'"", 'lim'], 'unkwn']]","[[['nuyι', 'stem'], 'obl'], [['khóngi', 'stem'], 'obl'], [['ndóndo', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['tiempo', 'stem'], 'obl'], [['yι', 'det.pl'], 'det'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['óra', 'stem'], [""yι'"", 'lim'], 'unkwn']]",True,1.0
mähke nkhúti sentábo o mähke xayi dazí pe rιpa rιkéha 'á ntsμhní,"[[['mähke', 'stem'], 'obl'], [['nkhúti', 'stem'], 'v'], [['sentábo', 'stem'], 'obl'], [['o', 'stem'], 'conj.adv'], [['mähke', 'stem'], 'obl'], [['xayi', 'stem'], 'obl'], [['da', '3.pot'], ['zí', 'stem'], 'v'], [['pe', 'stem'], 'obl'], [['rι', 'det'], ['pa', 'stem'], 'n'], [['rι', '3.cnt'], ['kéha', 'stem'], 'v'], [[""'á"", 'stem'], 'p.loc'], [['ntsμhní', 'stem'], 'n']]","[[['mähke', 'stem'], 'obl'], [['nkhúti', 'stem'], 'v'], [['sentábo', 'stem'], 'obl'], [['o', 'stem'], 'conj.adv'], [['mähke', 'stem'], 'obl'], [['xayi', 'stem'], 'obl'], [['da', '3.pot'], ['zí', 'stem'], 'v'], [['pe', 'stem'], 'obl'], [['rι', 'det'], ['pa', 'stem'], 'n'], [['rι', '3.cnt'], ['kéha', 'stem'], 'v'], [[""'á"", 'stem'], 'p.loc'], [['ntsμhní', 'stem'], 'n']]",True,1.0
i para ke dabμn grι phiésta dadón grι dμní,"[[['i', 'stem'], 'cnj'], [['para', 'stem'], 'obl'], [['ke', 'stem'], 'obl'], [['da', '3.pot'], ['bμn', 'stem'], 'v'], [['grι', 'det'], 'det'], [['phiésta', 'stem'], 'obl'], [['da', '3.pot'], ['dón', 'stem'], 'v'], [['grι', 'det'], 'det'], [['dμní', 'stem'], 'obl']]","[[['i', 'stem'], 'cnj'], [['para', 'stem'], 'obl'], [['ke', 'stem'], 'obl'], [['da', '3.pot'], ['bμn', 'stem'], 'v'], [['grι', 'det'], 'det'], [['phiésta', 'stem'], 'obl'], [['da', '3.pot'], ['dón', 'stem'], 'v'], [['grι', 'det'], 'det'], [['dμní', 'stem'], 'obl']]",True,1.0
i para ke daphiéstayι' yι khäní sábado,"[[['i', 'stem'], 'cnj'], [['para', 'stem'], 'obl'], [['ke', 'stem'], 'obl'], [['da', '3.pot'], ['phiésta', 'stem'], [""yι'"", 'lim'], 'v'], [['yι', 'det.pl'], 'det'], [['khäní', 'stem'], 'obl'], [['sábado', 'stem'], 'obl']]","[[['i', 'stem'], 'cnj'], [['para', 'stem'], 'obl'], [['ke', 'stem'], 'obl'], [['da', '3.pot'], ['phiésta', 'stem'], [""yι'"", 'lim'], 'v'], [['yι', 'det.pl'], 'det'], [['khäní', 'stem'], 'obl'], [['sábado', 'stem'], 'obl']]",True,1.0
pero último día datermináwi lónchi k'ι rι phiésta,"[[['pero', 'stem'], 'obl'], [['último', 'stem'], 'obl'], [['día', 'stem'], 'obl'], [['da', '3.pot'], ['terminá', 'stem'], ['wi', 'prag'], 'v'], [['lón', 'stem'], ['chi', 'dim'], 'unkwn'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'det'], 'det'], [['phiésta', 'stem'], 'obl']]","[[['pero', 'stem'], 'obl'], [['último', 'stem'], 'obl'], [['día', 'stem'], 'obl'], [['da', '3.pot'], ['terminá', 'stem'], ['wi', 'prag'], 'v'], [['lón', 'stem'], ['chi', 'dim'], 'unkwn'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'det'], 'det'], [['phiésta', 'stem'], 'obl']]",True,1.0
i kwárto para ke damáwi rι yóhontítsi,"[[['i', 'stem'], 'cnj'], [['kwárto', 'stem'], 'obl'], [['para', 'stem'], 'obl'], [['ke', 'stem'], 'obl'], [['da', '3.pot'], ['má', 'stem'], ['wi', 'prag'], 'v'], [['rι', 'det'], 'det'], [['yóho', 'stem'], ['ntítsi', 'stem'], 'unkwn']]","[[['i', 'stem'], 'cnj'], [['kwárto', 'stem'], 'obl'], [['para', 'stem'], 'obl'], [['ke', 'stem'], 'obl'], [['da', '3.pot'], ['má', 'stem'], ['wi', 'prag'], 'v'], [['rι', 'det'], 'det'], [['yóho', 'stem'], ['ntítsi', 'stem'], 'unkwn']]",True,1.0
gehña dígwádi kwatro bwelta mähank'ι,"[[['gehña', 'stem'], 'cnj'], [['dí', '1.icp'], ['gwádi', 'stem'], 'v'], [['kwatro', 'stem'], 'obl'], [['bwelta', 'stem'], 'obl'], [[""mähank'ι"", 'stem'], 'obl']]","[[['gehña', 'stem'], 'cnj'], [['dí', '1.icp'], ['gwádi', 'stem'], 'v'], [['kwatro', 'stem'], 'obl'], [['bwelta', 'stem'], 'obl'], [[""mähank'ι"", 'stem'], 'obl']]",True,1.0
i por gothó dígwádi komo beintisínko bwelta,"[[['i', 'stem'], 'cnj'], [['por', 'stem'], 'obl'], [['gothó', 'stem'], 'obl'], [['dí', '1.icp'], ['gwádi', 'stem'], 'v'], [['komo', 'stem'], 'obl'], [['beintisínko', 'stem'], 'obl'], [['bwelta', 'stem'], 'obl']]","[[['i', 'stem'], 'cnj'], [['por', 'stem'], 'obl'], [['gothó', 'stem'], 'obl'], [['dí', '1.icp'], ['gwádi', 'stem'], 'v'], [['komo', 'stem'], 'obl'], [['beintisínko', 'stem'], 'obl'], [['bwelta', 'stem'], 'obl']]",True,1.0
puro trábáhó bale beintisínko pesos,"[[['puro', 'stem'], 'obl'], [['trábáhó', 'stem'], 'obl'], [['bale', 'stem'], 'obl'], [['beintisínko', 'stem'], 'obl'], [['pesos', 'stem'], 'obl']]","[[['puro', 'stem'], 'obl'], [['trábáhó', 'stem'], 'obl'], [['bale', 'stem'], 'obl'], [['beintisínko', 'stem'], 'obl'], [['pesos', 'stem'], 'obl']]",True,1.0
wi xayi plástíko xo gomá k'ι mädénthí,"[[['wi', 'stem'], 'obl'], [['xayi', 'stem'], 'obl'], [['plástíko', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['go', '1.pot'], ['má', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['mä', '1.pss'], ['dénthí', 'stem'], 'n']]","[[['wi', 'stem'], 'obl'], [['xayi', 'stem'], 'obl'], [['plástíko', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['go', '1.pot'], ['má', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['mä', '1.pss'], ['dénthí', 'stem'], 'n']]",True,1.0
