frase,glosa predicha,glosa real,eq?,accuracy-score,
xo dó'aya,"[[['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], [""'aya"", 'stem'], 'v']]","[[['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], [""'aya"", 'stem'], 'v']]",True,1,
dómμik'úyι'wi,"[[['dó', '1.cpl'], ['mμi', 'stem'], [""k'ú"", 'loc'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['dó', '1.cpl'], ['mμi', 'stem'], [""k'ú"", 'loc'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1,
dópεhyι'wi,"[[['dó', '1.cpl'], ['pε', 'stem'], ['h', 'lig'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['dó', '1.cpl'], ['pε', 'stem'], ['h', 'lig'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1,
mitsμhgí rι 'yé,"[[['m', 'psd'], ['i', '3.icp'], ['tsμ', 'stem'], ['h', 'lig'], ['gí', '1.obj'], 'v'], [['rι', 'det'], 'det'], [[""'yé"", 'stem'], 'obl']]","[[['m', 'psd'], ['i', '3.icp'], ['tsμ', 'stem'], ['h', 'lig'], ['gí', '1.obj'], 'v'], [['rι', 'det'], 'det'], [[""'yé"", 'stem'], 'obl']]",True,1,
mipóhgí,"[[['m', 'psd'], ['i', '3.icp'], ['pó', 'stem'], ['h', 'lig'], ['gí', '1.obj'], 'v']]","[[['m', 'psd'], ['i', '3.icp'], ['pó', 'stem'], ['h', 'lig'], ['gí', '1.obj'], 'v']]",True,1,
mimähtratágí yι mbμhí,"[[['m', 'psd'], ['i', '3.icp'], ['mähtratá', 'stem'], ['gí', '1.obj'], 'v'], [['yι', 'det.pl'], 'det'], [['mbμhí', 'stem'], 'obl']]","[[['m', 'psd'], ['i', '3.icp'], ['mähtratá', 'stem'], ['gí', '1.obj'], 'v'], [['yι', 'det.pl'], 'det'], [['mbμhí', 'stem'], 'obl']]",True,1,
xo dómμik'ú,"[[['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], ['mμi', 'stem'], [""k'ú"", 'loc'], 'v']]","[[['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], ['mμi', 'stem'], [""k'ú"", 'loc'], 'v']]",True,1,
komo drιtsipobre drιtsinisidá,"[[['komo', 'stem'], 'obl'], [['drι', '1.cnt'], ['tsi', 'dim'], ['pobre', 'stem'], 'v'], [['drι', '1.cnt'], ['tsi', 'dim'], ['nisidá', 'stem'], 'v']]","[[['komo', 'stem'], 'obl'], [['drι', '1.cnt'], ['tsi', 'dim'], ['pobre', 'stem'], 'v'], [['drι', '1.cnt'], ['tsi', 'dim'], ['nisidá', 'stem'], 'v']]",True,1,
xo dóhóní yι ntsoyιwi,"[[['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], ['hóní', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['ntsoyι', 'stem'], ['wi', 'prag'], 'unkwn']]","[[['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], ['hóní', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['ntsoyι', 'stem'], ['wi', 'prag'], 'unkwn']]",True,1,
dómμibéyι'wi,"[[['dó', '1.cpl'], ['mμi', 'stem'], ['bé', 'dual.exc'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['dó', '1.cpl'], ['mμi', 'stem'], ['bé', 'dual.exc'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1,
gehña xo dómμik'úyι'wi,"[[['gehña', 'stem'], 'cnj'], [['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], ['mμi', 'stem'], [""k'ú"", 'loc'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['gehña', 'stem'], 'cnj'], [['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], ['mμi', 'stem'], [""k'ú"", 'loc'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1,
piximähtratágí,"[[['pi', 'it'], ['xi', '3.prf'], ['mähtratá', 'stem'], ['gí', '1.obj'], 'v']]","[[['pi', 'it'], ['xi', '3.prf'], ['mähtratá', 'stem'], ['gí', '1.obj'], 'v']]",True,1,
xo tómμik'ú,"[[['xo', 'stem'], 'cnj'], [['tó', '1.prf'], ['mμi', 'stem'], [""k'ú"", 'loc'], 'v']]","[[['xo', 'stem'], 'cnj'], [['tó', '1.prf'], ['mμi', 'stem'], [""k'ú"", 'loc'], 'v']]",True,1,
xo tómεnιk'ú,"[[['xo', 'stem'], 'cnj'], [['tó', '1.prf'], ['mεnι', 'stem'], [""k'ú"", 'loc'], 'v']]","[[['xo', 'stem'], 'cnj'], [['tó', '1.prf'], ['mεnι', 'stem'], [""k'ú"", 'loc'], 'v']]",True,1,
xaphi tómá,"[[['xaphi', 'stem'], 'neg'], [['tó', '1.prf'], ['má', 'stem'], 'v']]","[[['xaphi', 'stem'], 'neg'], [['tó', '1.prf'], ['má', 'stem'], 'v']]",True,1,
xaphi tómá,"[[['xaphi', 'stem'], 'neg'], [['tó', '1.prf'], ['má', 'stem'], 'v']]","[[['xaphi', 'stem'], 'neg'], [['tó', '1.prf'], ['má', 'stem'], 'v']]",True,1,
hingi né damμithó,"[[['hingi', 'stem'], 'neg'], [['né', 'stem'], 'v'], [['da', '3.pot'], ['mμi', 'stem'], ['thó', 'ila'], 'v']]","[[['hingi', 'stem'], 'neg'], [['né', 'stem'], 'v'], [['da', '3.pot'], ['mμi', 'stem'], ['thó', 'ila'], 'v']]",True,1,
kamánk'ι t'μ tsusiathó yι dáhtúhí,"[[['ka', '3.pls'], ['má', 'ctrf'], [""nk'ι"", 'stem'], 'v'], [[""t'μ"", 'stem'], 'obl'], [['tsusia', 'stem'], ['thó', 'ila'], 'v'], [['yι', 'det.pl'], 'det'], [['dáhtú', 'stem'], ['hí', 'pl'], 'unkwn']]","[[['ka', '3.pls'], ['má', 'ctrf'], [""nk'ι"", 'stem'], 'v'], [[""t'μ"", 'stem'], 'obl'], [['tsusia', 'stem'], ['thó', 'ila'], 'v'], [['yι', 'det.pl'], 'det'], [['dáhtú', 'stem'], ['hí', 'pl'], 'unkwn']]",True,1,
komo beinte o treinta pero despwés xo binkhμtsí,"[[['komo', 'stem'], 'obl'], [['beinte', 'stem'], 'obl'], [['o', 'stem'], 'obl'], [['treinta', 'stem'], 'obl'], [['pero', 'stem'], 'obl'], [['despwés', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['nkhμtsí', 'stem'], 'v']]","[[['komo', 'stem'], 'obl'], [['beinte', 'stem'], 'obl'], [['o', 'stem'], 'obl'], [['treinta', 'stem'], 'obl'], [['pero', 'stem'], 'obl'], [['despwés', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['nkhμtsí', 'stem'], 'v']]",True,1,
ya xathó ikháyι',"[[['ya', 'stem'], 'cnj'], [['xathó', 'stem'], 'obl'], [['i', '3.icp'], ['khá', 'stem'], [""yι'"", 'lim'], 'v']]","[[['ya', 'stem'], 'cnj'], [['xathó', 'stem'], 'obl'], [['i', '3.icp'], ['khá', 'stem'], [""yι'"", 'lim'], 'v']]",True,1,
xo mitahá rι ntsoyι mitá sínko pesos rι béhñι dos sinkwenta,"[[['xo', 'stem'], 'cnj'], [['m', 'psd'], ['i', '3.icp'], ['tahá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['ntsoyι', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['sínko', 'stem'], 'obl'], [['pesos', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['béhñι', 'stem'], 'obl'], [['dos', 'stem'], 'obl'], [['sinkwenta', 'stem'], 'obl']]","[[['xo', 'stem'], 'cnj'], [['m', 'psd'], ['i', '3.icp'], ['tahá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['ntsoyι', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['sínko', 'stem'], 'obl'], [['pesos', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['béhñι', 'stem'], 'obl'], [['dos', 'stem'], 'obl'], [['sinkwenta', 'stem'], 'obl']]",True,1,
bibμngiι' méphí,"[[['bi', '3.cpl'], ['bμngi', 'stem'], [""ι'"", 'lim'], 'v'], [['méphí', 'stem'], 'obl']]","[[['bi', '3.cpl'], ['bμngi', 'stem'], [""ι'"", 'lim'], 'v'], [['méphí', 'stem'], 'obl']]",True,1,
binkhá albañil,"[[['bi', '3.cpl'], ['nkhá', 'stem'], 'v'], [['albañil', 'stem'], 'obl']]","[[['bi', '3.cpl'], ['nkhá', 'stem'], 'v'], [['albañil', 'stem'], 'obl']]",True,1,
binkhá chalan,"[[['bi', '3.cpl'], ['nkhá', 'stem'], 'v'], [['chalan', 'stem'], 'obl']]","[[['bi', '3.cpl'], ['nkhá', 'stem'], 'v'], [['chalan', 'stem'], 'obl']]",True,1,
ni para báyú xo xayithóhó,"[[['ni', 'stem'], 'obl'], [['para', 'stem'], 'obl'], [['báyú', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['xayi', 'stem'], ['thó', 'ila'], ['hó', 'int'], 'unkwn']]","[[['ni', 'stem'], 'obl'], [['para', 'stem'], 'obl'], [['báyú', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['xayi', 'stem'], ['thó', 'ila'], ['hó', 'int'], 'unkwn']]",True,1,
ya ni té dizí,"[[['ya', 'stem'], 'cnj'], [['ni', 'stem'], 'obl'], [['té', 'stem'], 'obl'], [['di', '3.icp.irr'], ['zí', 'stem'], 'v']]","[[['ya', 'stem'], 'cnj'], [['ni', 'stem'], 'obl'], [['té', 'stem'], 'obl'], [['di', '3.icp.irr'], ['zí', 'stem'], 'v']]",True,1,
ni para xábo mitót'i,"[[['ni', 'stem'], 'obl'], [['para', 'stem'], 'obl'], [['xábo', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], [""tót'i"", 'stem'], 'v']]","[[['ni', 'stem'], 'obl'], [['para', 'stem'], 'obl'], [['xábo', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], [""tót'i"", 'stem'], 'v']]",True,1,
mimpεní ko rι thé,"[[['m', 'psd'], ['i', '3.icp'], ['mpεní', 'stem'], 'v'], [['ko', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['thé', 'stem'], 'obl']]","[[['m', 'psd'], ['i', '3.icp'], ['mpεní', 'stem'], 'v'], [['ko', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['thé', 'stem'], 'obl']]",True,1,
genk'ι mi'imbí tekéskíhté,"[[['gen', 'dem'], [""k'ι"", 'dem'], 'unkwn'], [['m', 'psd'], ['i', '3.icp'], [""'imbí"", 'stem'], 'v'], [['tekéskíhté', 'stem'], 'obl']]","[[['gen', 'dem'], [""k'ι"", 'dem'], 'unkwn'], [['m', 'psd'], ['i', '3.icp'], [""'imbí"", 'stem'], 'v'], [['tekéskíhté', 'stem'], 'obl']]",True,1,
milástima porke asta xayi dizí,"[[['m', 'psd'], ['i', '3.icp'], ['lástima', 'stem'], 'v'], [['porke', 'stem'], 'cnj'], [['asta', 'stem'], 'cnj'], [['xayi', 'stem'], 'obl'], [['di', '3.icp.irr'], ['zí', 'stem'], 'v']]","[[['m', 'psd'], ['i', '3.icp'], ['lástima', 'stem'], 'v'], [['porke', 'stem'], 'cnj'], [['asta', 'stem'], 'cnj'], [['xayi', 'stem'], 'obl'], [['di', '3.icp.irr'], ['zí', 'stem'], 'v']]",True,1,
yι xo minúhí ta,"[[['yι', 'det.pl'], 'det'], [['xo', 'stem'], 'cnj'], [['m', 'psd'], ['i', '3.icp'], ['nú', 'stem'], ['hí', 'pl'], 'v'], [['ta', 'stem'], 'cnj']]","[[['yι', 'det.pl'], 'det'], [['xo', 'stem'], 'cnj'], [['m', 'psd'], ['i', '3.icp'], ['nú', 'stem'], ['hí', 'pl'], 'v'], [['ta', 'stem'], 'cnj']]",True,1,
xo dúnthí yι khäní bidúnι,"[[['xo', 'stem'], 'cnj'], [['dúnthí', 'stem'], 'obl'], [['yι', 'det.pl'], 'det'], [['khäní', 'stem'], 'obl'], [['bi', '3.cpl'], ['dú', 'stem'], ['nι', 'dem'], 'v']]","[[['xo', 'stem'], 'cnj'], [['dúnthí', 'stem'], 'obl'], [['yι', 'det.pl'], 'det'], [['khäní', 'stem'], 'obl'], [['bi', '3.cpl'], ['dú', 'stem'], ['nι', 'dem'], 'v']]",True,1,
pero phä nι rι óra nι rι tiempo dapohó,"[[['pero', 'stem'], 'obl'], [['phä', 'stem'], 'v'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['óra', 'stem'], 'obl'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['tiempo', 'stem'], 'obl'], [['da', '3.pot'], ['pohó', 'stem'], 'v']]","[[['pero', 'stem'], 'obl'], [['phä', 'stem'], 'v'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['óra', 'stem'], 'obl'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['tiempo', 'stem'], 'obl'], [['da', '3.pot'], ['pohó', 'stem'], 'v']]",True,1,
xo ge bikontágí k'ι mätsiwéla,"[[['xo', 'stem'], 'cnj'], [['ge', 'stem'], 'prt'], [['bi', '3.cpl'], ['kontá', 'stem'], ['gí', '1.obj'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['mä', '1.pss'], ['tsi', 'dim'], ['wéla', 'stem'], 'n']]","[[['xo', 'stem'], 'cnj'], [['ge', 'stem'], 'prt'], [['bi', '3.cpl'], ['kontá', 'stem'], ['gí', '1.obj'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['mä', '1.pss'], ['tsi', 'dim'], ['wéla', 'stem'], 'n']]",True,1,
ntsothó xo drιbéni,"[[['ntsothó', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['drι', '1.cnt'], ['béni', 'stem'], 'v']]","[[['ntsothó', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['drι', '1.cnt'], ['béni', 'stem'], 'v']]",True,1,
mink'antíbi rι dó,"[[['m', 'psd'], ['i', '3.icp'], [""nk'antí"", 'stem'], ['bi', '3.obj'], 'v'], [['rι', 'det'], 'det'], [['dó', 'stem'], 'obl']]","[[['m', 'psd'], ['i', '3.icp'], [""nk'antí"", 'stem'], ['bi', '3.obj'], 'v'], [['rι', 'det'], 'det'], [['dó', 'stem'], 'obl']]",True,1,
midμt'í khage,"[[['m', 'psd'], ['i', '3.icp'], [""dμt'í"", 'stem'], 'v'], [['khage', 'stem'], 'dec']]","[[['m', 'psd'], ['i', '3.icp'], [""dμt'í"", 'stem'], 'v'], [['khage', 'stem'], 'dec']]",True,1,
mi'μngi nι rι tsibúro khage,"[[['m', 'psd'], ['i', '3.icp'], [""'μngi"", 'stem'], 'v'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['tsi', 'dim'], ['búro', 'stem'], 'unkwn'], [['khage', 'stem'], 'dec']]","[[['m', 'psd'], ['i', '3.icp'], [""'μngi"", 'stem'], 'v'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['tsi', 'dim'], ['búro', 'stem'], 'unkwn'], [['khage', 'stem'], 'dec']]",True,1,
nuyι khóngi ndóndo rι tiempo yι nι rι órayι',"[[['nuyι', 'stem'], 'obl'], [['khóngi', 'stem'], 'obl'], [['ndóndo', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['tiempo', 'stem'], 'obl'], [['yι', 'det.pl'], 'det'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['óra', 'stem'], [""yι'"", 'lim'], 'unkwn']]","[[['nuyι', 'stem'], 'obl'], [['khóngi', 'stem'], 'obl'], [['ndóndo', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['tiempo', 'stem'], 'obl'], [['yι', 'det.pl'], 'det'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['óra', 'stem'], [""yι'"", 'lim'], 'unkwn']]",True,1,
bμ ntsáingó ikóbra rι 'bμhña,"[[['bμ', 'stem'], 'cnj'], [['ntsáingó', 'stem'], 'obl'], [['i', '3.icp'], ['kóbra', 'stem'], 'v'], [['rι', 'det'], 'det'], [[""'bμhña"", 'stem'], 'obl']]","[[['bμ', 'stem'], 'cnj'], [['ntsáingó', 'stem'], 'obl'], [['i', '3.icp'], ['kóbra', 'stem'], 'v'], [['rι', 'det'], 'det'], [[""'bμhña"", 'stem'], 'obl']]",True,1,
dankhá rι hμndrí,"[[['da', '3.pot'], ['nkhá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['hμndrí', 'stem'], 'obl']]","[[['da', '3.pot'], ['nkhá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['hμndrí', 'stem'], 'obl']]",True,1,
damáñó ngú por ngú,"[[['da', '3.pot'], ['má', 'ctrf'], ['ñó', 'stem'], 'v'], [['ngú', 'stem'], 'obl'], [['por', 'stem'], 'obl'], [['ngú', 'stem'], 'obl']]","[[['da', '3.pot'], ['má', 'ctrf'], ['ñó', 'stem'], 'v'], [['ngú', 'stem'], 'obl'], [['por', 'stem'], 'obl'], [['ngú', 'stem'], 'obl']]",True,1,
despwés dazati rι hμndrí,"[[['despwés', 'stem'], 'obl'], [['da', '3.pot'], ['zati', 'stem'], 'v'], [['rι', 'det'], 'det'], [['hμndrí', 'stem'], 'obl']]","[[['despwés', 'stem'], 'obl'], [['da', '3.pot'], ['zati', 'stem'], 'v'], [['rι', 'det'], 'det'], [['hμndrí', 'stem'], 'obl']]",True,1,
día domingo dankhá rι 'bμhña,"[[['día', 'stem'], 'obl'], [['domingo', 'stem'], 'obl'], [['da', '3.pot'], ['nkhá', 'stem'], 'v'], [['rι', 'det'], 'det'], [[""'bμhña"", 'stem'], 'obl']]","[[['día', 'stem'], 'obl'], [['domingo', 'stem'], 'obl'], [['da', '3.pot'], ['nkhá', 'stem'], 'v'], [['rι', 'det'], 'det'], [[""'bμhña"", 'stem'], 'obl']]",True,1,
binkóbra ngú por ngú,"[[['bi', '3.cpl'], ['nkóbra', 'stem'], 'v'], [['ngú', 'stem'], 'obl'], [['por', 'stem'], 'obl'], [['ngú', 'stem'], 'obl']]","[[['bi', '3.cpl'], ['nkóbra', 'stem'], 'v'], [['ngú', 'stem'], 'obl'], [['por', 'stem'], 'obl'], [['ngú', 'stem'], 'obl']]",True,1,
xo bithéhyι'wi,"[[['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['thé', 'stem'], ['h', 'lig'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['thé', 'stem'], ['h', 'lig'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1,
xo bizo'yι'wi,"[[['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], [""zo'"", 'stem'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], [""zo'"", 'stem'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1,
bale treintaisinko peso,"[[['bale', 'stem'], 'obl'], [['treintaisinko', 'stem'], 'cnj'], [['peso', 'stem'], 'obl']]","[[['bale', 'stem'], 'obl'], [['treintaisinko', 'stem'], 'cnj'], [['peso', 'stem'], 'obl']]",True,1,
kinse bwelta damáwi rι órma,"[[['kinse', 'stem'], 'obl'], [['bwelta', 'stem'], 'obl'], [['da', '3.pot'], ['má', 'stem'], ['wi', 'prag'], 'v'], [['rι', 'det'], 'det'], [['órma', 'stem'], 'v']]","[[['kinse', 'stem'], 'obl'], [['bwelta', 'stem'], 'obl'], [['da', '3.pot'], ['má', 'stem'], ['wi', 'prag'], 'v'], [['rι', 'det'], 'det'], [['órma', 'stem'], 'v']]",True,1,
puro trábáhó bale beintisínko pesos,"[[['puro', 'stem'], 'obl'], [['trábáhó', 'stem'], 'obl'], [['bale', 'stem'], 'obl'], [['beintisínko', 'stem'], 'obl'], [['pesos', 'stem'], 'obl']]","[[['puro', 'stem'], 'obl'], [['trábáhó', 'stem'], 'obl'], [['bale', 'stem'], 'obl'], [['beintisínko', 'stem'], 'obl'], [['pesos', 'stem'], 'obl']]",True,1,
entre yóho mäbεphí díphädi,"[[['entre', 'stem'], 'obl'], [['yóho', 'stem'], 'obl'], [['mä', '1.pss'], ['bεphí', 'stem'], 'n'], [['dí', '1.icp'], ['phädi', 'stem'], 'v']]","[[['entre', 'stem'], 'obl'], [['yóho', 'stem'], 'obl'], [['mä', '1.pss'], ['bεphí', 'stem'], 'n'], [['dí', '1.icp'], ['phädi', 'stem'], 'v']]",True,1,
xo gínú mikhá rι zanthé,"[[['xo', 'stem'], 'cnj'], [['gí', '2.icp'], ['nú', 'stem'], 'v'], [['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['zanthé', 'stem'], 'obl']]","[[['xo', 'stem'], 'cnj'], [['gí', '2.icp'], ['nú', 'stem'], 'v'], [['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['zanthé', 'stem'], 'obl']]",True,1,
mikhá rι zanthé,"[[['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['zanthé', 'stem'], 'obl']]","[[['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['zanthé', 'stem'], 'obl']]",True,1,
mikhá rι ñäyí,"[[['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['ñäyí', 'stem'], 'obl']]","[[['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['ñäyí', 'stem'], 'obl']]",True,1,
mikhá rι yohtithá,"[[['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['yohtithá', 'stem'], 'obl']]","[[['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['yohtithá', 'stem'], 'obl']]",True,1,
mikhá rι bóxkhwái,"[[['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['bóxkhwái', 'stem'], 'obl']]","[[['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['bóxkhwái', 'stem'], 'obl']]",True,1,
