frase,glosa predicha,glosa real,eq?,accuracy-score
xo dómμik'ú,"[[['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], ['mμi', 'stem'], [""k'ú"", 'loc'], 'v']]","[[['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], ['mμi', 'stem'], [""k'ú"", 'loc'], 'v']]",True,1.0
komo drιtsipobre drιtsinisidá,"[[['komo', 'stem'], 'obl'], [['drι', '1.cnt'], ['tsi', 'dim'], ['pobre', 'stem'], 'v'], [['drι', '1.cnt'], ['tsi', 'dim'], ['nisidá', 'stem'], 'v']]","[[['komo', 'stem'], 'obl'], [['drι', '1.cnt'], ['tsi', 'dim'], ['pobre', 'stem'], 'v'], [['drι', '1.cnt'], ['tsi', 'dim'], ['nisidá', 'stem'], 'v']]",True,1.0
xo bigenk'ú xo dósuphrék'úyι'wi,"[[['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['gen', 'stem'], [""k'ú"", 'loc'], 'unkwn'], [['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], ['suphré', 'stem'], [""k'ú"", 'loc'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['xo', 'stem'], 'cnj'], [['bigen', 'stem'], [""k'ú"", 'loc'], 'unkwn'], [['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], ['suphré', 'stem'], [""k'ú"", 'loc'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",False,0.8928571428571429
xo dóhóní yι ntsoyιwi,"[[['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], ['hóní', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['ntsoyι', 'stem'], ['wi', 'prag'], 'unkwn']]","[[['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], ['hóní', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['ntsoyι', 'stem'], ['wi', 'prag'], 'unkwn']]",True,1.0
dómμibéyι'wi,"[[['dó', '1.cpl'], ['mμi', 'stem'], ['bé', 'dual.exc'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['dó', '1.cpl'], ['mμi', 'stem'], ['bé', 'dual.exc'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1.0
gehña xo dómμik'úyι'wi,"[[['gehña', 'stem'], 'cnj'], [['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], ['mμi', 'stem'], [""k'ú"", 'loc'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['gehña', 'stem'], 'cnj'], [['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], ['mμi', 'stem'], [""k'ú"", 'loc'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1.0
digehña pi rι ntsoyι pixi'μngí,"[[['di', 'prt'], ['gehña', 'mod'], 'unkwn'], [['pi', 'it'], 'it'], [['rι', 'det'], 'det'], [['ntsoyι', 'stem'], 'obl'], [['pi', 'it'], ['xi', '3.prf'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v']]","[[['di', 'prt'], ['gehña', 'mod'], 'unkwn'], [['pi', 'stem'], 'it'], [['rι', 'det'], 'det'], [['ntsoyι', 'stem'], 'obl'], [['pi', 'it'], ['xi', '3.prf'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v']]",False,0.9230769230769231
piximähtratágí,"[[['pi', 'it'], ['xi', '3.prf'], ['mähtratá', 'stem'], ['gí', '1.obj'], 'v']]","[[['pi', 'it'], ['xi', '3.prf'], ['mähtratá', 'stem'], ['gí', '1.obj'], 'v']]",True,1.0
xo tómμik'ú,"[[['xo', 'stem'], 'cnj'], [['tó', '1.prf'], ['mμi', 'stem'], [""k'ú"", 'loc'], 'v']]","[[['xo', 'stem'], 'cnj'], [['tó', '1.prf'], ['mμi', 'stem'], [""k'ú"", 'loc'], 'v']]",True,1.0
xo tómεnιk'ú,"[[['xo', 'stem'], 'cnj'], [['tó', '1.prf'], ['mεnι', 'stem'], [""k'ú"", 'loc'], 'v']]","[[['xo', 'stem'], 'cnj'], [['tó', '1.prf'], ['mεnι', 'stem'], [""k'ú"", 'loc'], 'v']]",True,1.0
xaphi tómá,"[[['xaphi', 'stem'], 'neg'], [['tó', '1.prf'], ['má', 'stem'], 'v']]","[[['xaphi', 'stem'], 'neg'], [['tó', '1.prf'], ['má', 'stem'], 'v']]",True,1.0
xipμnbigí mätsikhí,"[[['xi', '3.prf'], ['pμnbi', 'stem'], ['gí', '1.obj'], 'v'], [['mä', '1.pss'], ['tsi', 'dim'], ['khí', 'stem'], 'n']]","[[['xi', '3.prf'], ['pμn', 'stem'], ['bi', 'caus'], ['gí', '1.obj'], 'v'], [['mä', '1.pss'], ['tsi', 'dim'], ['khí', 'stem'], 'n']]",False,0.8823529411764706
xik'andigí mädó,"[[['xi', '3.prf'], [""k'andi"", 'stem'], ['gí', '1.obj'], 'v'], [['mä', '1.pss'], ['dó', '1.cpl'], 'n']]","[[['xi', '3.prf'], [""k'andi"", 'stem'], ['gí', '1.obj'], 'v'], [['mä', '1.pss'], ['dó', 'stem'], 'n']]",False,0.8571428571428571
xaphi tómá,"[[['xaphi', 'stem'], 'neg'], [['tó', '1.prf'], ['má', 'stem'], 'v']]","[[['xaphi', 'stem'], 'neg'], [['tó', '1.prf'], ['má', 'stem'], 'v']]",True,1.0
xo xgamáthó ntíthó k'ι mäntsoyι,"[[['xo', 'stem'], 'cnj'], [['xgamá', 'stem'], ['thó', 'ila'], 'v'], [['ntí', 'stem'], ['thó', 'ila'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['mä', '1.pss'], ['ntsoyι', 'stem'], 'n']]","[[['xo', 'stem'], 'cnj'], [['x', 'prt'], ['ga', '3.pls'], ['má', 'stem'], ['thó', 'ila'], 'v'], [['ntí', 'stem'], ['thó', 'ila'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['mä', '1.pss'], ['ntsoyι', 'stem'], 'n']]",False,0.8518518518518519
hingi né damμithó,"[[['hingi', 'stem'], 'neg'], [['né', 'stem'], 'v'], [['da', '3.pot'], ['mμi', 'stem'], ['thó', 'ila'], 'v']]","[[['hingi', 'stem'], 'neg'], [['né', 'stem'], 'v'], [['da', '3.pot'], ['mμi', 'stem'], ['thó', 'ila'], 'v']]",True,1.0
xo 'á dañú k'ι rι xμthι nikhι darμhkí yι míngwá,"[[['xo', 'stem'], 'cnj'], [[""'á"", 'stem'], 'p.loc'], [['da', '3.pot'], ['ñú', 'stem'], 'obl'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'det'], 'det'], [['xμthι', 'stem'], 'obl'], [['ni', 'stem'], ['khι', 'stem'], 'obl'], [['darμhkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['míngwá', 'stem'], 'obl']]","[[['xo', 'stem'], 'cnj'], [[""'á"", 'stem'], 'p.loc'], [['dañú', 'stem'], 'obl'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'det'], 'det'], [['xμthι', 'stem'], 'obl'], [['nikhι', 'stem'], 'obl'], [['da', '3.pot'], ['rμhkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['míngwá', 'stem'], 'obl']]",False,0.8157894736842105
bomí ná tsizá bomí ná tsimúríyó tsiládá pa darμhkí k'ι rι míngwáwi,"[[['bo', '3.cpl'], ['mí', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['tsi', 'dim'], ['zá', 'stem'], 'unkwn'], [['bo', '3.cpl'], ['mí', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['tsimúríyó', 'stem'], 'unkwn'], [['tsiládá', 'stem'], 'unkwn'], [['pa', 'stem'], 'obl'], [['darμhkí', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'det'], 'det'], [['míngwá', 'stem'], ['wi', 'prag'], 'unkwn']]","[[['bo', '3.cpl'], ['mí', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['tsi', 'dim'], ['zá', 'stem'], 'unkwn'], [['bo', '3.cpl'], ['mí', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['tsi', 'dim'], ['múríyó', 'stem'], 'unkwn'], [['tsi', 'dim'], ['ládá', 'stem'], 'unkwn'], [['pa', 'stem'], 'obl'], [['da', '3.pot'], ['rμhkí', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'det'], 'det'], [['míngwá', 'stem'], ['wi', 'prag'], 'unkwn']]",False,0.8
to mitá ná rι wá to mitá ná rι 'ála to mitá ná rι píchúgá ná rι tripa,"[[['to', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['wá', 'stem'], 'obl'], [['to', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [[""'ála"", 'stem'], 'obl'], [['to', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['píchúgá', 'stem'], 'obl'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['tri', 'stem'], ['pa', 'stem'], 'obl']]","[[['to', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['wá', 'stem'], 'obl'], [['to', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [[""'ála"", 'stem'], 'obl'], [['to', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['píchúgá', 'stem'], 'obl'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['tripa', 'stem'], 'obl']]",False,0.9807692307692307
téxo rι benk'ι ná rι tsámphó té xo gothó mitót'i miwiníhí,"[[['téxo', 'stem'], 'unkwn'], [['rι', 'det'], 'det'], [[""benk'ι"", 'stem'], 'unkwn'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['tsámphó', 'stem'], 'obl'], [['té', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['go', '1.pot'], ['thó', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], [""tót'i"", 'stem'], 'v'], [['m', 'psd'], ['i', '3.icp'], ['winíhí', 'stem'], 'v']]","[[['té', 'stem'], ['xo', 'stem'], 'unkwn'], [['rι', 'det'], 'det'], [['ben', 'stem'], [""k'ι"", 'dem'], 'unkwn'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['tsámphó', 'stem'], 'obl'], [['té', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['gothó', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], [""tót'i"", 'stem'], 'v'], [['m', 'psd'], ['i', '3.icp'], ['winí', 'stem'], ['hí', 'pl'], 'v']]",False,0.8085106382978723
takamák'ιt'íthóhí yιkhí,"[[['ta', 'stem'], ['ka', '3.pls'], ['má', 'ctrf'], [""k'ιt'í"", 'stem'], ['thó', 'ila'], ['hí', 'pl'], 'v'], [['yι', 'det.pl'], ['khí', 'stem'], 'n']]","[[['ta', 'hasta'], ['ka', '3.pls'], ['má', 'ctrf'], [""k'ιt'í"", 'stem'], ['thó', 'ila'], ['hí', 'pl'], 'v'], [['yι', 'det.pl'], ['khí', 'stem'], 'n']]",False,0.9090909090909091
kamánk'ι t'μ tsusiathó yι dáhtúhí,"[[['ka', '3.pls'], ['má', 'ctrf'], [""nk'ι"", 'stem'], 'v'], [[""t'μ"", 'stem'], 'obl'], [['tsusia', 'stem'], ['thó', 'ila'], 'v'], [['yι', 'det.pl'], 'det'], [['dáhtú', 'stem'], ['hí', 'pl'], 'unkwn']]","[[['ka', '3.pls'], ['má', 'ctrf'], [""nk'ι"", 'stem'], 'v'], [[""t'μ"", 'stem'], 'obl'], [['tsusia', 'stem'], ['thó', 'ila'], 'v'], [['yι', 'det.pl'], 'det'], [['dáhtú', 'stem'], ['hí', 'pl'], 'unkwn']]",True,1.0
dadúnthí k'ι yι tμge árto tμge árto kιbáyo,"[[['da', '3.pot'], ['dúnthí', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['yι', 'det.pl'], 'det'], [['tμge', 'stem'], 'obl'], [['árto', 'stem'], 'obl'], [['tμge', 'stem'], 'obl'], [['árto', 'stem'], 'obl'], [['kι', 'stem'], ['báyo', 'stem'], 'obl']]","[[['da', '3.pot'], ['dúnthí', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['yι', 'det.pl'], 'det'], [['tμge', 'stem'], 'obl'], [['árto', 'stem'], 'obl'], [['tμge', 'stem'], 'obl'], [['árto', 'stem'], 'obl'], [['kιbáyo', 'stem'], 'obl']]",False,0.9714285714285714
to dadμhkihíyι'wi xo khóthó,"[[['to', 'stem'], 'obl'], [['da', '3.pot'], ['dμhki', 'stem'], ['hí', 'pl'], [""yι'"", 'lim'], ['wi', 'prag'], 'v'], [['xo', 'stem'], 'cnj'], [['khó', 'stem'], ['thó', 'ila'], 'obl']]","[[['to', 'stem'], 'obl'], [['da', '3.pot'], ['dμhki', 'stem'], ['hí', 'pl'], [""yι'"", 'lim'], ['wi', 'prag'], 'v'], [['xo', 'stem'], 'cnj'], [['khóthó', 'stem'], 'obl']]",False,0.875
komo beinte o treinta pero despwés xo binkhμtsí,"[[['komo', 'stem'], 'obl'], [['beinte', 'stem'], 'obl'], [['o', 'stem'], 'obl'], [['treinta', 'stem'], 'obl'], [['pero', 'stem'], 'obl'], [['despwés', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['nkhμtsí', 'stem'], 'v']]","[[['komo', 'stem'], 'obl'], [['beinte', 'stem'], 'obl'], [['o', 'stem'], 'obl'], [['treinta', 'stem'], 'obl'], [['pero', 'stem'], 'obl'], [['despwés', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['nkhμtsí', 'stem'], 'v']]",True,1.0
ya xathó ikháyι',"[[['ya', 'stem'], 'cnj'], [['xathó', 'stem'], 'obl'], [['i', '3.icp'], ['khá', 'stem'], [""yι'"", 'lim'], 'v']]","[[['ya', 'stem'], 'cnj'], [['xathó', 'stem'], 'obl'], [['i', '3.icp'], ['khá', 'stem'], [""yι'"", 'lim'], 'v']]",True,1.0
bixihgí bimá'ina xayi dímpεníhí nι,"[[['bi', '3.cpl'], ['xi', 'stem'], ['h', 'lig'], ['gí', '1.obj'], 'v'], [['bi', '3.cpl'], ['má', 'ctrf'], [""'ina"", 'stem'], 'v'], [['xayi', 'stem'], 'obl'], [['dí', '1.icp'], ['mpεníhí', 'stem'], 'v'], [['nι', 'dem'], 'dem']]","[[['bi', '3.cpl'], ['xi', 'stem'], ['h', 'lig'], ['gí', '1.obj'], 'v'], [['bi', '3.cpl'], ['má', 'ctrf'], [""'ina"", 'stem'], 'v'], [['xayi', 'stem'], 'obl'], [['dí', '1.icp'], ['mpεní', 'stem'], ['hí', 'pl'], 'v'], [['nι', 'stem'], 'dem']]",False,0.8666666666666667
